Ranking;Country of origin;Promedio de TCP;Cantidad de muestra;;;INFLUENCIA DE ATRIBUTOS EN EL MEJOR CAFÉ;;;
1;Guatemala;84,3;21;;;AROMA;ACIDEZ;BALANCE;
2;Colombia;83,88;19;;;7,7;7,76;7,76;
3;Costa Rica;83,74;8;;;;;;
4;Panama;83,63;2;;;;;;
5;Honduras;83,28;13;;;CALIFICACIÓN MÁS ALTA DE CAFÉ;;;
6;Mexico;82,71;4;;;Ranking;Country of origin;Promedio de TCP;Cantidad de muestra
7;Peru;82,33;4;;;1;Guatemala;84,3;21
8;Nicaragua;81,89;7;;;;;;
9;Brazil;81,88;10;;;;;;
10;El Salvador;81,53;7;;;CALIFICACIÓN MÁS BAJA DE CAFÉ;;;
;;;;;;Ranking;Country of origin;Promedio de TCP;Cantidad de muestra
;;;;;;10;El Salvador;81,53;7
